frame_idx,timestamp,best_conf,infer_ms,jump_count,jump_type,spm,state,cycle_ok,dt,expected_dt,hip_amp,shoulder_amp,amp_ewma,lift_th,lift_noise_sigma,ground_y,hip_y,shoulder_ground_y,shoulder_y,is_airborne
0,0.0,0.8459944725036621,33.283089054748416,0,unknown,0.0,IDLE,False,,,,,,,,,252.1519775390625,,157.057861328125,False
1,0.03333333333333333,0.8521946668624878,27.263297932222486,0,unknown,0.0,IDLE,False,,,,,,,,,249.31103515625,,158.15689086914062,False
2,0.06666666666666667,0.8425254821777344,26.701282942667603,0,unknown,0.0,IDLE,False,,,,,,,,,250.4840545654297,,157.69187927246094,False
3,0.1,0.8336058259010315,26.24434104654938,0,unknown,0.0,IDLE,False,,,,,,,,,250.68765258789062,,157.48797607421875,False
4,0.13333333333333333,0.8500187397003174,26.436116080731153,0,unknown,0.0,IDLE,False,,,,,,,,,250.24655151367188,,157.78590393066406,False
5,0.16666666666666666,0.832254946231842,26.738425949588418,0,unknown,0.0,IDLE,False,,,,,,,,,249.33340454101562,,157.3043212890625,False
6,0.2,0.8238716125488281,27.30764204170555,0,unknown,0.0,IDLE,False,,,,,,,,,249.09927368164062,,156.8655242919922,False
7,0.23333333333333334,0.8121215105056763,27.340022032149136,0,unknown,0.0,IDLE,False,,,,,,,,,248.50765991210938,,156.27606201171875,False
8,0.26666666666666666,0.7508004903793335,26.716731023043394,0,unknown,0.0,IDLE,False,,,,,,,,,248.22303771972656,,154.0303192138672,False
9,0.3,0.7566646337509155,26.863423991017044,0,unknown,0.0,IDLE,False,,,,,,4.50009232635498,1.50003077545166,250.83409118652344,246.73841857910156,157.822998046875,151.45993041992188,False
10,0.3333333333333333,0.7541139125823975,26.36030502617359,0,unknown,0.0,IDLE,False,,,,,,4.839194998168946,1.6130649993896484,250.68765258789062,245.66879272460938,157.78590393066406,150.0970916748047,True
11,0.36666666666666664,0.6699904203414917,27.40244404412806,0,unknown,0.0,IDLE,False,,,,,,5.160109034729004,1.7200363449096678,250.66729736328125,245.02647399902344,157.77650451660156,148.84109497070312,True
12,0.4,0.6541945934295654,26.86714695300907,1,unknown,0.0,JUMPING,True,,,5.620452880859375,9.563186645507812,5.620452880859375,6.159228414916992,2.053076138305664,250.6469268798828,246.06968688964844,157.76710510253906,148.20391845703125,False
13,0.43333333333333335,0.6583689451217651,26.558262994512916,1,unknown,0.0,JUMPING,False,,,,,5.620452880859375,7.679710093688964,2.559903364562988,250.62657165527344,247.03079223632812,157.7576904296875,148.13211059570312,False
14,0.4666666666666667,0.7339590787887573,26.44379495177418,1,unknown,0.0,JUMPING,False,,,,,5.620452880859375,6.159228414916992,2.053076138305664,250.60621643066406,249.73077392578125,157.748291015625,148.97317504882812,False
15,0.5,0.7898436784744263,26.402694988064468,1,unknown,0.0,JUMPING,False,,,,,5.620452880859375,5.217355728149414,1.7391185760498047,251.41981506347656,254.0770721435547,157.7388916015625,152.24368286132812,False
16,0.5333333333333333,0.811665415763855,26.44753991626203,1,unknown,0.0,JUMPING,False,,,,,5.620452880859375,4.256004913330077,1.4186683044433592,252.92201232910156,259.6344299316406,157.7294921875,157.6827392578125,False
17,0.5666666666666667,0.7836256623268127,26.561531936749816,1,unknown,0.0,JUMPING,False,,,,,5.620452880859375,8.474953875732421,2.8249846252441406,255.74427795410156,264.2525939941406,157.89720153808594,163.57235717773438,False
18,0.6,0.7938356399536133,26.497857994399965,1,unknown,0.0,JUMPING,False,,,,,5.620452880859375,10.24155900878906,3.413853002929687,260.55804443359375,266.91680908203125,159.23997497558594,166.7123565673828,False
19,0.6333333333333333,0.8274585008621216,26.55843400862068,1,unknown,0.0,JUMPING,False,,,,,5.620452880859375,11.389003994750976,3.796334664916992,264.5190124511719,267.46795654296875,163.8841094970703,166.68980407714844,False
20,0.6666666666666666,0.835273027420044,26.744839968159795,1,unknown,0.0,JUMPING,False,,,,,5.620452880859375,12.00897855834961,4.002992852783203,264.2525939941406,261.53668212890625,163.57235717773438,161.93887329101562,False
21,0.7,0.8209047317504883,26.656629983335733,1,unknown,0.0,JUMPING,False,,,,,5.620452880859375,11.389003994750976,3.796334664916992,263.9809875488281,251.58648681640625,163.4090118408203,153.07077026367188,True
22,0.7333333333333333,0.8554412722587585,26.99803502764553,1,unknown,0.0,JUMPING,False,,,,,5.620452880859375,12.00897855834961,4.002992852783203,263.70941162109375,245.33335876464844,163.24566650390625,147.46832275390625,True
23,0.7666666666666667,0.7847610712051392,26.798576000146568,1,unknown,0.0,JUMPING,False,,,,,5.620452880859375,12.039213771057128,4.0130712570190425,263.43780517578125,237.81130981445312,163.08230590820312,140.25711059570312,True
24,0.8,0.8535529375076294,26.278359000571072,1,unknown,0.0,JUMPING,False,,,,,5.620452880859375,12.53644898071289,4.178816326904297,263.1662292480469,231.425537109375,162.91896057128906,134.17132568359375,True
25,0.8333333333333334,0.8330389261245728,26.269995025359094,1,unknown,0.0,JUMPING,False,,,,,5.620452880859375,13.526406175231934,4.5088020584106445,262.8946533203125,225.6077117919922,162.755615234375,130.51727294921875,True
26,0.8666666666666667,0.7743091583251953,26.508113951422274,1,unknown,0.0,JUMPING,False,,,,,5.620452880859375,14.41686882019043,4.8056229400634765,262.623046875,225.2114715576172,162.59226989746094,129.28648376464844,True
27,0.9,0.8039267063140869,26.439787005074322,1,unknown,0.0,JUMPING,False,,,,,5.620452880859375,14.83748101043701,4.945827003479003,262.3514404296875,229.0950469970703,162.42892456054688,130.723388671875,True
28,0.9333333333333333,0.8444080352783203,26.370236068032682,1,unknown,0.0,JUMPING,False,,,,,5.620452880859375,15.258093200683593,5.086031066894531,262.0798645019531,231.809814453125,162.26556396484375,132.04200744628906,True
29,0.9666666666666667,0.7704572677612305,26.324128033593297,1,unknown,0.0,JUMPING,False,,,,,5.620452880859375,15.163926292419433,5.0546420974731445,261.8082580566406,237.4095001220703,162.1022186279297,136.97662353515625,True
30,1.0,0.7705315947532654,26.35736099909991,1,unknown,0.0,JUMPING,False,,,,,5.620452880859375,16.19528299255371,5.39842766418457,261.53668212890625,242.6942596435547,161.93887329101562,145.23434448242188,True
31,1.0333333333333334,0.7958135604858398,26.424231007695198,2,unknown,94.73684329405387,JUMPING,True,0.6333333333333334,0.6333333333333334,36.13499450683594,32.27418518066406,13.249088287353516,16.19528299255371,5.39842766418457,261.3464660644531,252.13552856445312,161.5606689453125,154.5315704345703,False
32,1.0666666666666667,0.8033034801483154,26.434839935973287,2,unknown,94.73684329405387,JUMPING,False,,0.6333333333333334,,,13.249088287353516,23.929728662109376,7.976576220703125,261.1562194824219,255.51815795898438,161.55123901367188,160.00067138671875,False
