frame_idx,timestamp,best_conf,infer_ms,jump_count,spm,state,cycle_ok,dt,expected_dt,hip_amp,shoulder_amp,amp_ewma,lift_th,lift_noise_sigma,ground_y,hip_y,shoulder_ground_y,shoulder_y,is_airborne
0,0.0,0.8033900856971741,35.712585086002946,0,0.0,IDLE,False,,,,,,,,,237.85699462890625,,157.06515502929688,False
1,0.03333333333333333,0.7883152961730957,28.97347300313413,0,0.0,IDLE,False,,,,,,,,,237.17311096191406,,156.77801513671875,False
2,0.06666666666666667,0.7543421387672424,27.79407799243927,0,0.0,IDLE,False,,,,,,,,,236.82876586914062,,155.8772430419922,False
3,0.1,0.783944845199585,28.411850798875093,0,0.0,IDLE,False,,,,,,,,,236.8504638671875,,155.8990020751953,False
4,0.13333333333333333,0.7967663407325745,27.78394613415003,0,0.0,IDLE,False,,,,,,,,,235.98643493652344,,155.47763061523438,False
5,0.16666666666666666,0.8203650712966919,28.125931043177843,0,0.0,IDLE,False,,,,,,,,,235.51434326171875,,155.82106018066406,False
6,0.2,0.8147966861724854,29.32451688684523,0,0.0,IDLE,False,,,,,,,,,235.23239135742188,,155.73245239257812,False
7,0.23333333333333334,0.8150173425674438,28.269326081499457,0,0.0,IDLE,False,,,,,,,,,234.1783447265625,,155.2577362060547,False
8,0.26666666666666666,0.7845239043235779,31.296697910875082,0,0.0,IDLE,False,,,,,,,,,233.7119140625,,154.8340301513672,False
9,0.3,0.791056752204895,33.34776312112808,0,0.0,IDLE,False,,,,,,5.610209889221191,1.8700699630737303,237.2415008544922,234.32777404785156,156.80673217773438,154.32687377929688,False
10,0.3333333333333333,0.8101267218589783,28.428089106455445,0,0.0,IDLE,False,,,,,,5.846288873291016,1.9487629577636718,237.17311096191406,234.56939697265625,156.77801513671875,154.33529663085938,False
11,0.36666666666666664,0.8048421740531921,29.805199010297656,0,0.0,IDLE,False,,,,,,5.072864666748046,1.6909548889160155,237.14083862304688,235.99905395507812,156.6901092529297,154.62332153320312,False
12,0.4,0.7973129749298096,28.274683048948646,0,0.0,IDLE,False,,,,,,4.264216946411132,1.4214056488037108,237.1275177001953,236.94515991210938,156.6022186279297,154.6592559814453,False
13,0.43333333333333335,0.8310253620147705,29.175356030464172,0,0.0,IDLE,False,,,,,,4.743127784729003,1.5810425949096678,237.65182495117188,238.460205078125,156.51431274414062,153.93490600585938,False
14,0.4666666666666667,0.8618738651275635,29.55329092219472,0,0.0,IDLE,False,,,,,,4.208090075683593,1.4026966918945312,237.58343505859375,236.66192626953125,156.42640686035156,153.44085693359375,False
15,0.5,0.8261021375656128,28.612985042855144,0,0.0,IDLE,False,,,,,,4.315966328430175,1.4386554428100584,237.81982421875,237.7826690673828,156.3385009765625,152.1566162109375,False
16,0.5333333333333333,0.852108359336853,28.05884089320898,0,0.0,IDLE,False,,,,,,5.104219702148438,1.7014065673828125,237.94166564941406,238.06866455078125,156.2506103515625,151.54898071289062,False
17,0.5666666666666667,0.821491003036499,28.349824948236346,0,0.0,IDLE,False,,,,,,4.779097846984863,1.593032615661621,237.92050170898438,237.763916015625,156.16270446777344,150.96707153320312,False
18,0.6,0.8475812077522278,28.463153867051005,0,0.0,IDLE,False,,,,,,4.242770645141602,1.4142568817138672,237.89932250976562,237.6464080810547,156.07479858398438,150.84100341796875,False
